Gene, Column, Accuracy
200063_s_at, 84, 0.9305555555555556
200052_s_at, 73, 0.9305555555555556
63825_at, 22158, 0.9166666666666666
57539_at, 22120, 0.9166666666666666
222291_at, 21650, 0.9166666666666666
221984_s_at, 21344, 0.9166666666666666
221848_at, 21208, 0.9166666666666666
221488_s_at, 20851, 0.9166666666666666
220161_s_at, 19525, 0.9166666666666666
220070_at, 19434, 0.9166666666666666
219918_s_at, 19282, 0.9166666666666666
219148_at, 18512, 0.9166666666666666
218979_at, 18343, 0.9166666666666666
218728_s_at, 18092, 0.9166666666666666
218585_s_at, 17950, 0.9166666666666666
218544_s_at, 17909, 0.9166666666666666
218512_at, 17877, 0.9166666666666666
218252_at, 17617, 0.9166666666666666
217917_s_at, 17282, 0.9166666666666666
216958_s_at, 16328, 0.9166666666666666
214421_x_at, 13800, 0.9166666666666666
214419_s_at, 13798, 0.9166666666666666
214061_at, 13440, 0.9166666666666666
213820_s_at, 13200, 0.9166666666666666
213646_x_at, 13026, 0.9166666666666666
212626_x_at, 12011, 0.9166666666666666
212185_x_at, 11571, 0.9166666666666666
212051_at, 11437, 0.9166666666666666
211946_s_at, 11334, 0.9166666666666666
211609_x_at, 11014, 0.9166666666666666
210589_s_at, 10056, 0.9166666666666666
210565_at, 10033, 0.9166666666666666
210105_s_at, 9589, 0.9166666666666666
209546_s_at, 9039, 0.9166666666666666
208926_at, 8421, 0.9166666666666666
208510_s_at, 8008, 0.9166666666666666
207609_s_at, 7130, 0.9166666666666666
207262_at, 6787, 0.9166666666666666
207218_at, 6743, 0.9166666666666666
207165_at, 6691, 0.9166666666666666
207102_at, 6628, 0.9166666666666666
207027_at, 6553, 0.9166666666666666
206610_s_at, 6136, 0.9166666666666666
206541_at, 6067, 0.9166666666666666
206130_s_at, 5656, 0.9166666666666666
205790_at, 5317, 0.9166666666666666
205740_s_at, 5267, 0.9166666666666666
204822_at, 4349, 0.9166666666666666
203755_at, 3282, 0.9166666666666666
